net,length_um
arr.b1\[6\],135.4
arr.a00\[6\],135.06
net564,134.84
_02200_,134.48
_07656_,134.385
net408,134.16
_02232_,133.98
net200,133.86
net383,133.5
_02142_,133.48
_01800_,133.46
arr.b0\[1\],133.375
_02362_,133.28
arr.a3\[6\],133.1
arr.b13\[3\],132.95
net487,132.82
clknet_leaf_136_clk,132.48
_02114_,132.46
arr.b1\[3\],132.12
_02366_,131.96
arr.b1\[7\],131.8
net180,131.8
_02255_,131.54
arr.b03\[5\],131.46
_04772_,131.26
clknet_leaf_131_clk,131.1
arr.a21\[3\],130.86
arr.a00\[4\],130.72
_07524_,130.44
_02394_,130.29
_04028_,130.1
net1272,129.7
_07528_,129.02
arr.b13\[2\],128.99
_08353_,128.88
_05212_,128.875
arr.a21\[0\],128.63
_02361_,127.93
_07601_,127.795
_06785_,127.46
clknet_leaf_10_clk,126.81
arr.b22\[2\],126.78
arr.b12\[5\],126.7
_02314_,126.52
arr.b2\[7\],126.46
arr.b13\[6\],126.4
_02421_,126.14
arr.a21\[2\],126.02
arr.b10\[2\],125.95
clknet_leaf_135_clk,125.62
_08053_,125.205
_05967_,125.2
_02003_,125.17
clknet_leaf_100_clk,125.12
arr.a01\[2\],124.8
arr.b02\[5\],124.725
net134,124.72
arr.a02\[0\],124.2
arr.b3\[1\],123.98
_02171_,123.96
arr.a2\[7\],123.96
clknet_leaf_6_clk,123.94
arr.b0\[5\],123.44
arr.b0\[6\],123.24
net540,123.23
arr.a0\[7\],123.12
_02141_,123.05
_06537_,122.78
net404,122.78
_04748_,122.68
_05217_,122.56
_07204_,122.53
_08450_,122.515
clknet_leaf_25_clk,122.38
_02293_,122.22
arr.a3\[7\],122.01
_04947_,121.68
_02256_,121.5
arr.a3\[1\],120.62
clknet_leaf_92_clk,120.22
_02155_,120.06
arr.b13\[5\],120.06
arr.b0\[4\],120.01
net234,119.98
arr.a21\[4\],119.86
_02133_,119.755
arr.b02\[4\],119.68
clknet_leaf_148_clk,119.64
_02061_,119.6
_02165_,119.54
_05267_,119.395
clknet_leaf_58_clk,119.38
arr.b2\[1\],119.26
_04004_,119.205
net238,119.18
_04870_,118.755
_03189_,118.75
_07981_,118.7
arr.a30\[1\],118.62
arr.b02\[6\],118.32
_08378_,117.85
_05173_,117.49
net361,117.46
clknet_leaf_139_clk,117.46
arr.b1\[5\],117.44
_02101_,117.38
_05567_,117.25
_05535_,117.24
